id,total_sales,average_sales,monthly_growth_percent,top_product,best_region,month
272,131098.67,1231.26,7.95,Tablet,Central,dec
273,173115.26,3616.18,37.9,Keyboard,Central,apr
275,196402.43,1062.42,19.25,Printer,West,September
276,87704.1,2756.1,36.44,Mobile,West,MAR
281,94029.33,4386.18,26.28,Mouse,South,NOV
283,177861.99,4848.15,31.65,Keyboard,West,jul
285,179611.48,3307.1,1.86,Camera,East,dec
286,42519.11,2925.98,29.48,Camera,east,Oct
287,89943.9,3358.48,20.32,Monitor,North,Aug
293,53268.33,4351.98,-16.61,Mouse,West,MAR
295,28255.17,3332.54,7.9,Tablet,east,NOV
296,9053.3,3945.66,26.2,Monitor,North,February
298,31333.59,1775.94,-14.91,Headphones,North,Oct
300,17211.93,1398.83,6.21,Laptop,West ,Oct
301,125935.63,882.89,26.54,Tablet,north ,NOV
302,29721.66,4334.51,1.71,Mobile,West,September
303,129097.31,824.71,-16.04,Smartwatch, SOUTH,jul
304,150209.49,1148.07,21.19,Laptop,West,February
305,143039.23,2694.89,12.08,Camera,North,dec
306,153012.71,2908.85,2.06,Laptop,West ,MAR
307,31708.93,812.54,32.16,Laptop, SOUTH,Jan
308,152710.39,3765.92,21.98,Keyboard,North,Jan
309,10167.21,1249.44,2.77,Laptop,East,jul
311,195772.92,2585.06,14.8,Smartwatch,West ,MAR
312,81855.88,2563.42,-15.23,Monitor,East,jul
313,125728.62,2148.09,4.5,Keyboard, SOUTH,jul
316,143981.94,1710.74,-3.97,Camera,West ,apr
317,25097.07,1786.51,19.29,Printer,East,September
318,89456.66,2038.94,31.0,Tablet, SOUTH,NOV
320,44671.21,4989.12,6.18,Printer,East,September
322,25489.19,2667.68,-16.22,Camera,South,May
325,144781.3,2990.28,17.74,Laptop,Central,apr
326,188568.04,4415.87,39.48,Smartwatch,East,September
327,125901.02,3579.67,24.75,Mobile,South,jul
328,21408.62,4948.62,26.05,Monitor,North,Aug
331,-190660.5,1142.0,-7.28,Camera,South,May
332,166724.64,1271.48,32.61,Camera,north ,June
333,152520.96,3143.1,-11.14,Smartwatch,West,September
334,167401.52,1745.73,20.17,Camera,Central,apr
335,124482.82,2839.05,33.23,Tablet,South,June
336,148355.0,487.5,16.54,Laptop,Central,September
337,128659.19,229.63,14.8,Camera,east,Oct
338,55788.66,4552.95,4.96,Tablet,South,Oct
339,182942.37,2279.89,18.93,Printer,South,MAR
340,106959.74,3986.68,14.78,Smartwatch,West,Oct
341,149330.11,3390.56,23.0,Laptop,East,May
342,90501.87,1052.31,10.29,Monitor,Central,jul
346,135681.87,490.76,21.86,Headphones,West,Aug
348,161719.93,4062.35,-1.52,Mobile, SOUTH,MAR
349,35711.79,1742.6,37.23,Headphones,East,MAR
350,160700.04,213.98,25.83,Tablet,West,dec
351,92409.58,3491.48,22.42,Printer,north ,MAR
352,131981.43,917.26,-7.26,Smartwatch,north ,dec
353,23823.44,3492.31,1.85,Keyboard,East,June
355,80832.0,1972.99,3.77,Mouse,East,MAR
357,62619.05,2889.12,29.08,Smartwatch,South,dec
359,44362.94,301.24,-0.46,Smartwatch,Central,apr
362,178414.66,4325.26,32.24,Mobile,east,June
363,102809.41,2120.84,-2.07,Printer,East,Jan
365,32182.94,2445.56,37.03,Smartwatch,Central,February
366,21699.9,2141.09,2.87,Mobile,East,Jan
367,96635.85,4523.87,26.16,Mobile,north ,apr
368,185614.16,2637.56,27.67,Tablet,South,February
369,100065.04,3250.91,32.72,Smartwatch,north ,May
370,-35921.39,935.9,-10.75,Headphones,West ,February
372,33427.09,2692.6,20.48,Keyboard,South,February
374,169615.02,232.5,2.78,Monitor,Central,apr
375,22917.36,4902.72,-4.3,Tablet,east,apr
376,191375.94,1867.19,-9.02,Tablet,north ,Aug
377,39208.84,3493.24,3.26,Tablet,east,February
378,44870.39,2315.02,-19.99,Laptop,East,MAR
381,193953.66,3442.04,20.06,Tablet,north ,Jan
382,133085.67,1000.97,38.99,Keyboard,South,February
383,94935.77,1363.16,12.89,Monitor, SOUTH,Oct
387,118892.71,1967.74,-15.32,Mobile,east,Aug
388,122442.57,2777.34,-1.34,Mouse,South,Aug
389,126377.99,2074.83,-12.9,Headphones,North,NOV
390,37091.25,3390.89,2.63,Printer,East,May
391,7444.21,387.12,-1.88,Monitor,East,Jan
393,39008.0,3722.16,5.03,Keyboard,West ,June
394,104034.06,366.41,23.51,Mobile,South,MAR
395,157985.13,1611.37,11.0,Headphones,West ,September
396,166471.06,3364.71,19.2,Printer,South,apr
400,7303.57,210.11,24.05,Camera, SOUTH,Oct
401,60583.4,4801.63,25.63,Tablet,West,NOV
402,38605.28,2997.8,-14.91,Printer,north ,February
407,13811.61,665.37,-14.39,Smartwatch,north ,February
408,50247.53,407.94,29.83,Camera, SOUTH,NOV
409,68335.24,2288.28,26.14,Smartwatch,West,NOV
410,104162.2,4572.02,0.78,Mouse,north ,Jan
411,92692.06,281.38,37.31,Printer, SOUTH,Jan
412,100024.52,3511.82,4.83,Headphones,Central,MAR
413,173739.41,3191.45,-15.06,Mobile,West,NOV
418,131103.26,605.76,16.69,Monitor,North,May
421,194695.23,2718.58,15.06,Keyboard,South,June
424,45468.79,4300.57,37.77,Mobile,east,jul
425,196372.71,3331.59,11.98,Keyboard,north ,Oct
428,169534.83,676.51,39.66,Laptop,Central,May
429,32552.72,1449.64,21.47,Laptop,north ,February
430,135416.31,4230.55,39.56,Headphones,east,NOV
432,145210.96,1913.93,-2.32,Laptop,East,NOV
435,47757.52,3913.94,8.11,Mouse,West,Jan
437,138516.54,1321.1,0.25,Keyboard,West,June
438,98317.45,1680.99,-5.22,Printer,North,February
439,39768.28,470.71,-9.35,Monitor,north ,Oct
440,155901.24,404.28,16.35,Mouse,South,dec
441,86597.79,1274.12,2.66,Printer, SOUTH,jul
442,-20110.96,3101.2,10.51,Camera,South,Jan
443,37412.3,1085.4,-10.46,Keyboard,Central,Aug
444,9666.79,2130.87,38.35,Monitor,West,June
445,178253.41,2549.9,19.23,Keyboard,North,September
447,97512.77,3115.35,2.06,Tablet,East,Oct
451,181146.52,1008.42,10.62,Laptop,Central,February
452,52379.01,1317.5,38.77,Camera,South,Jan
453,72643.7,229.5,39.31,Mouse,West,NOV
454,178272.82,2164.2,25.66,Headphones, SOUTH,September
456,132157.0,1769.93,37.12,Tablet, SOUTH,February
459,94442.88,2333.23,2.74,Printer,East,Jan
461,83283.34,1407.16,7.05,Smartwatch,East,Jan
462,109817.79,2372.29,16.15,Tablet,East,Aug
463,73183.24,1774.13,9.5,Mouse,East,June
464,12804.18,2535.25,23.27,Tablet,West,Oct
465,122603.25,4563.87,23.65,Mobile,South,MAR
466,118041.48,2073.55,20.25,Camera,Central,Oct
467,67181.41,1107.44,4.28,Keyboard,Central,September
468,184437.42,2994.71,-16.49,Printer,West ,February
469,165345.92,349.42,-2.13,Tablet,east,September
470,50773.23,4751.4,34.21,Smartwatch,South,June
472,92791.71,2403.94,4.67,Mobile,West,MAR
473,162013.53,3213.29,13.07,Headphones,West ,jul
475,19963.21,4392.45,-16.27,Mouse,Central,February
476,177887.56,4244.41,-18.69,Smartwatch,East,MAR
477,53528.75,2458.19,33.38,Printer,Central,apr
480,44639.21,1763.53,28.95,Printer,north ,MAR
481,161190.09,2705.49,38.85,Tablet, SOUTH,February
482,14931.86,212.65,34.22,Mobile, SOUTH,Oct
483,108753.49,4487.75,-18.08,Headphones,South,jul
484,9514.15,3810.96,7.11,Camera,North,Jan
485,64807.01,2460.38,-10.5,Headphones,West,Aug
486,55058.76,2133.02,-2.43,Headphones,Central,Jan
487,100853.68,702.43,1.66,Laptop,east,dec
488,94100.18,2933.27,-8.19,Camera,East,dec
490,81892.82,1747.88,-3.63,Tablet,East,apr
491,92949.42,4026.73,24.09,Headphones,West,Aug
492,-97314.95,353.96,17.46,Keyboard, SOUTH,May
493,70035.2,4076.51,34.88,Smartwatch,West,dec
495,18374.67,3629.5,-0.88,Camera,north ,September
496,146385.99,1578.43,8.22,Smartwatch, SOUTH,Jan
498,86068.22,668.23,24.67,Keyboard,West ,apr
499,149062.44,1366.04,5.0,Headphones,South,Jan
500,113743.58,1839.01,28.48,Monitor,Central,June
502,25504.44,1495.99,9.0,Mouse,Central,June
503,184915.22,3097.69,10.96,Printer,Central,dec
504,5863.78,2108.86,6.06,Laptop,West,Aug
505,196133.78,3582.92,-8.9,Printer,East,MAR
507,79054.43,504.85,21.14,Smartwatch,North,jul
508,132633.4,2734.31,-16.83,Tablet,Central,September
511,82201.4,203.96,25.64,Camera,North,apr
513,153026.57,2559.95,-13.0,Smartwatch,north ,Oct
516,34187.21,2588.65,25.06,Camera,east,June
518,17429.11,443.92,31.81,Monitor,north ,jul
519,125084.54,4696.56,8.33,Mouse,West,September
520,63361.41,2001.28,12.27,Keyboard,east,MAR
521,197538.2,1991.53,-14.03,Tablet,North,dec
523,27791.55,3216.2,27.61,Monitor,West,Aug
524,143398.6,2657.11,-10.62,Mouse,Central,dec
526,117517.54,3918.16,10.83,Laptop,South,Jan
527,38898.58,2486.59,24.25,Keyboard,east,jul
530,14860.91,2711.67,32.52,Tablet,East,Aug
531,9573.55,1126.81,7.22,Headphones,East,June
532,11159.3,3889.93,18.76,Printer,South,NOV
533,117908.11,3170.95,23.16,Keyboard,South,MAR
535,196258.27,474.51,13.32,Keyboard,north ,Oct
536,91776.55,4657.48,11.11,Smartwatch, SOUTH,dec
538,171069.43,639.14,37.76,Monitor,East,dec
542,194105.47,4656.6,19.46,Camera,South,September
543,59882.04,4892.67,32.57,Monitor,West,February
544,37535.87,2714.41,7.26,Mobile,West ,dec
546,37230.18,4410.05,-4.84,Camera,east,dec
547,186191.89,1148.98,-16.84,Monitor,West ,NOV
548,9596.35,830.98,39.02,Keyboard, SOUTH,September
550,199207.78,1100.12,-19.48,Keyboard,Central,February
551,133063.54,4172.12,3.04,Mobile,West ,September
552,136573.26,2847.98,5.18,Camera,South,Jan
554,54438.31,4060.65,-10.22,Mouse,West,June
556,43655.27,3865.74,-3.13,Mouse,West ,June
558,139503.29,3958.47,11.82,Camera,West,Aug
560,136314.71,1488.23,20.18,Headphones,West,dec
561,198233.83,880.99,0.27,Keyboard, SOUTH,June
562,137162.02,321.69,11.34,Headphones,South,Oct
563,23825.33,2492.5,38.16,Mobile,Central,dec
564,87314.79,4047.9,2.54,Headphones,West ,jul
566,186924.31,1002.91,11.46,Mouse,Central,apr
567,151071.58,4633.62,6.32,Keyboard,north ,Oct
568,58981.37,4024.46,-3.63,Headphones,north ,NOV
569,194373.14,4830.91,4.38,Smartwatch,north ,February
570,60151.01,3987.84,17.02,Tablet,North,May
571,94039.15,3047.86,16.17,Monitor,East,Jan
572,112273.14,1087.32,1.88,Monitor,South,dec
574,81195.1,327.96,37.57,Headphones,West,MAR
576,31434.26,2590.91,33.01,Mouse,East,Oct
577,56949.42,489.97,29.44,Printer,north ,May
578,162918.28,4168.63,14.7,Printer,West ,Aug
579,93702.87,2034.7,-7.89,Smartwatch,East,Aug
580,117546.02,3903.88,9.3,Mouse,East,June
582,35912.8,3500.63,39.18,Camera,West ,NOV
583,6254.05,766.42,22.73,Printer,West,Oct
586,156250.1,873.31,2.21,Headphones,Central,Aug
588,136557.7,4822.39,9.69,Printer,north ,May
590,62545.07,3685.99,-13.14,Headphones,north ,February
591,-108005.32,4428.6,-16.94,Smartwatch,West,jul
592,93434.7,4832.35,33.94,Monitor,East,June
596,-132302.26,1954.24,3.64,Smartwatch,Central,NOV
598,54753.66,3089.13,27.83,Mouse,east,NOV
599,183196.38,1204.08,15.2,Smartwatch,Central,May
600,10291.73,4113.83,34.95,Mouse, SOUTH,June
601,166870.28,2807.28,-9.41,Smartwatch,East,May
602,65760.39,1145.83,13.01,Tablet,West,jul
606,14732.25,754.29,8.84,Printer,East,apr
607,186737.36,4833.04,-10.61,Mobile,North,apr
608,111172.02,3380.2,31.88,Printer,East,MAR
609,148383.9,3484.2,7.7,Keyboard,West ,Oct
610,123928.08,2150.43,21.19,Monitor,South,February
611,5459.55,4107.29,-4.52,Smartwatch,east,Aug
612,90139.78,3029.38,9.28,Headphones,east,February
613,45945.39,3510.35,4.32,Tablet,north ,apr
614,110061.66,2965.6,-2.19,Monitor,Central,Oct
615,155615.08,3273.57,11.89,Printer,South,jul
617,135433.19,1721.35,14.8,Camera,east,jul
619,13133.12,3742.68,14.39,Mouse,South,Aug
620,108006.37,4615.22,-18.29,Mouse,West ,jul
621,103233.63,4215.17,-19.4,Smartwatch, SOUTH,MAR
622,136884.21,2075.9,7.57,Smartwatch,north ,NOV
624,83434.25,4202.36,24.08,Mobile,East,June
626,72255.29,705.35,-7.36,Keyboard,North,apr
627,187872.22,1462.76,0.85,Mobile,East,Jan
628,125318.06,1327.41,32.52,Headphones,West,jul
629,-127131.98,2702.24,-0.6,Headphones,East,Jan
633,177915.44,2537.7,29.8,Laptop,West,May
634,152177.97,2609.81,29.59,Monitor,North,apr
635,91858.45,4551.14,29.39,Camera,South,Jan
637,29158.95,4423.1,5.27,Tablet,East,apr
639,169799.93,1356.72,-13.01,Mouse,north ,Jan
640,153137.59,3333.4,34.01,Laptop,north ,February
642,150482.87,4007.68,-4.87,Keyboard,east,NOV
643,46576.2,3535.23,28.85,Printer,North,dec
644,67558.5,3874.61,27.31,Monitor,West ,Jan
645,93325.51,322.77,-10.77,Tablet, SOUTH,NOV
647,195381.33,4489.67,-0.3,Smartwatch, SOUTH,June
648,64827.18,2084.48,-15.39,Camera,West,June
649,84012.31,1949.3,20.59,Headphones,north ,Jan
651,111412.18,1670.85,26.29,Keyboard, SOUTH,June
652,121678.07,2234.21,28.09,Keyboard,North,February
653,97063.8,1647.61,32.67,Monitor, SOUTH,jul
654,118193.05,1831.69,-4.26,Headphones, SOUTH,Aug
655,75268.5,909.78,4.77,Laptop,North,Aug
656,41704.58,2166.83,10.93,Laptop,West ,apr
657,152288.18,3034.37,-14.86,Smartwatch,north ,Jan
659,34561.22,4361.07,0.93,Headphones,West,Aug
660,161456.75,3688.39,27.95,Smartwatch,east,Jan
661,123965.85,2056.41,-6.52,Camera,West ,dec
665,140574.91,2819.83,0.44,Monitor,Central,September
666,21395.68,956.6,-16.76,Tablet,West,jul
667,75775.29,2904.8,6.56,Mouse,West ,June
668,14217.51,1772.16,9.97,Mobile,north ,Jan
669,-54329.87,1468.0,9.69,Headphones, SOUTH,Jan
670,96178.65,3118.44,-12.28,Monitor,West ,Aug
671,30711.37,1787.81,9.88,Keyboard,North,Oct
672,153223.9,210.13,28.57,Camera,east,dec
673,8964.21,1361.61,36.03,Smartwatch,Central,apr
674,29566.37,3252.81,16.35,Laptop, SOUTH,Aug
675,-126832.39,2096.3,14.7,Printer,Central,apr
678,140609.92,238.04,33.37,Headphones,North,Oct
679,54123.34,3553.49,-13.92,Mouse,South,May
680,40317.63,4741.55,7.17,Smartwatch,West,February
681,98042.97,1953.73,-14.98,Headphones,Central,February
682,68654.26,2416.22,-6.16,Monitor,East,MAR
684,109471.25,3212.94,22.5,Monitor,Central,Oct
685,86560.92,3777.09,4.94,Printer,West ,February
686,68393.92,4263.95,24.99,Smartwatch, SOUTH,May
687,85969.1,4922.25,24.97,Headphones, SOUTH,MAR
689,43346.95,2506.72,31.89,Smartwatch,South,NOV
690,38123.88,2631.81,8.63,Laptop,North,apr
691,61183.74,1244.75,-7.66,Camera,Central,MAR
692,189302.67,1007.96,5.04,Mouse,South,apr
693,110593.17,4325.77,30.81,Keyboard,Central,Jan
694,175833.35,3681.39,12.83,Tablet,Central,MAR
695,6312.26,1775.4,4.08,Laptop,north ,May
696,76016.57,2474.02,22.05,Mobile,West,September
697,69241.36,1324.38,16.45,Mobile,Central,Aug
698,49216.74,4524.58,-9.01,Printer,West ,Jan
699,29556.44,4507.62,36.76,Monitor,East,apr
701,155495.96,928.15,-0.22,Smartwatch,North,Jan
703,73006.11,1489.83,3.9,Keyboard,West ,NOV
704,149406.28,2942.4,33.88,Mouse,north ,MAR
705,186751.08,3315.1,-0.25,Mobile,North,dec
706,188509.08,3706.19,19.6,Smartwatch,South,September
707,125624.64,3497.79,0.42,Tablet,South,September
708,97447.29,1329.66,-5.76,Monitor,North,NOV
709,106939.59,4589.49,13.33,Headphones, SOUTH,jul
711,143192.27,4025.07,36.07,Mouse,Central,Jan
712,21002.78,238.2,-8.75,Headphones, SOUTH,September
715,158777.66,2250.46,9.84,Monitor,east,June
717,31074.76,2219.1,-6.36,Smartwatch,South,February
718,58540.74,738.02,27.57,Keyboard,north ,Jan
719,37747.11,2915.67,10.93,Printer,West,dec
720,62524.87,2508.13,1.05,Laptop,North,NOV
721,38438.38,3985.73,15.98,Laptop,East,Aug
723,68481.3,2189.22,32.24,Headphones,North,MAR
724,77726.73,3621.45,6.68,Keyboard,West,February
725,152521.04,3129.84,-19.34,Laptop,North,MAR
728,68123.47,3923.1,-17.44,Mouse,South,NOV
729,193116.15,4433.99,-6.31,Smartwatch,Central,dec
730,20034.83,1863.04,7.83,Laptop,north ,June
732,93986.13,4755.87,11.29,Mouse,east,Oct
733,91180.23,578.22,18.52,Printer,east,MAR
734,167339.47,4684.52,-17.63,Smartwatch,East,February
735,136305.56,4739.81,15.27,Smartwatch,Central,May
736,150024.09,2674.15,-14.28,Mobile,east,May
737,121789.5,1451.87,27.39,Tablet,east,June
738,81346.41,3757.55,-13.99,Camera,South,May
740,13354.15,3349.81,34.97,Mobile,West ,jul
741,62775.24,818.61,33.96,Keyboard,north ,NOV
742,47143.06,3921.04,0.27,Mobile,West ,dec
743,193683.4,3126.87,6.14,Headphones,East,apr
744,143637.89,1654.74,-7.83,Monitor,East,Jan
745,117086.69,4571.11,9.8,Mobile,Central,Jan
746,60133.89,1436.33,-2.56,Camera,east,May
747,47965.68,4723.49,5.33,Smartwatch,North,February
748,188718.72,4945.55,-11.35,Smartwatch, SOUTH,Jan
750,105930.37,4518.41,-5.44,Monitor,North,jul
751,196456.43,2009.72,28.19,Camera,Central,June
752,129500.34,3050.3,36.58,Laptop,East,Oct
753,100124.83,2371.47,9.52,Headphones,east,dec
754,186514.28,615.27,-1.26,Mouse,Central,February
